GO:0019058 GO:0019058
GO:0019012 GO:0019012
GO:0019012 GO:0020002
GO:0019012 GO:0030430
GO:0019012 GO:0016020
GO:0020002 GO:0019012
GO:0020002 GO:0020002
GO:0020002 GO:0030430
GO:0020002 GO:0016020
GO:0030430 GO:0019012
GO:0030430 GO:0020002
GO:0030430 GO:0030430
GO:0030430 GO:0016020
GO:0016020 GO:0019012
GO:0016020 GO:0020002
GO:0016020 GO:0030430
GO:0016020 GO:0016020
GO:0003723 GO:0003723
